"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","01-Jan-2018","       2701.20","       2682.30","       2694.80","       2635.00","       2650.00","       2645.60","       2654.94","     675880","          1794417716.90","      19464","     330691","         48.93"
"TCS","EQ","02-Jan-2018","       2645.60","       2660.00","       2669.60","       2620.20","       2631.00","       2631.20","       2641.06","     960145","          2535800011.00","      46813","     555820","         57.89"
"TCS","EQ","03-Jan-2018","       2631.20","       2632.00","       2669.00","       2631.20","       2639.00","       2638.65","       2649.21","     628560","          1665185619.40","      32104","     361072","         57.44"
"TCS","EQ","04-Jan-2018","       2638.65","       2650.00","       2662.00","       2640.00","       2650.00","       2657.10","       2649.94","     456541","          1209807238.40","      32647","     264561","         57.95"
"TCS","EQ","05-Jan-2018","       2657.10","       2650.00","       2699.50","       2650.00","       2695.00","       2689.20","       2684.95","     576853","          1548821282.25","      30836","     318083","         55.14"
"TCS","EQ","08-Jan-2018","       2689.20","       2700.00","       2726.85","       2681.85","       2708.80","       2714.40","       2709.74","     621110","          1683046447.75","      43815","     345599","         55.64"
"TCS","EQ","09-Jan-2018","       2714.40","       2715.00","       2721.00","       2676.55","       2708.95","       2709.00","       2703.56","    1074698","          2905511380.05","      47403","     612650","         57.01"
"TCS","EQ","10-Jan-2018","       2709.00","       2711.00","       2816.00","       2694.65","       2803.00","       2806.60","       2763.30","    1682925","          4650423556.80","      70764","     699460","         41.56"
"TCS","EQ","11-Jan-2018","       2806.60","       2810.00","       2821.90","       2782.20","       2792.50","       2790.50","       2796.58","    1260524","          3525161028.50","      71604","     578244","         45.87"
"TCS","EQ","12-Jan-2018","       2790.50","       2805.00","       2805.00","       2740.55","       2769.90","       2776.35","       2764.28","    1680157","          4644422667.90","      90884","     472438","         28.12"
"TCS","EQ","15-Jan-2018","       2776.35","       2777.15","       2808.00","       2735.05","       2737.40","       2746.10","       2768.32","     728607","          2017014657.00","      49926","     394675","         54.17"
"TCS","EQ","16-Jan-2018","       2746.10","       2756.00","       2861.65","       2750.55","       2860.00","       2850.85","       2834.50","    2133876","          6048464571.50","      85776","     639155","         29.95"
"TCS","EQ","17-Jan-2018","       2850.85","       2870.00","       2925.00","       2862.15","       2895.00","       2888.95","       2900.36","    2140403","          6207945519.55","      94873","     965845","         45.12"
"TCS","EQ","18-Jan-2018","       2888.95","       2897.00","       2933.00","       2868.05","       2926.55","       2918.20","       2896.35","    1104739","          3199711974.10","      51786","     568379","         51.45"
"TCS","EQ","19-Jan-2018","       2918.20","       2930.55","       2982.00","       2903.65","       2974.85","       2959.30","       2930.77","     910000","          2667000913.10","      44039","     436952","         48.02"
"TCS","EQ","22-Jan-2018","       2959.30","       2961.00","       3134.70","       2922.00","       3090.00","       3116.40","       3052.16","    2183555","          6664565989.30","      97757","     663651","         30.39"
"TCS","EQ","23-Jan-2018","       3116.40","       3114.95","       3142.35","       3090.05","       3097.90","       3102.00","       3112.03","    1619805","          5040878629.55","      68887","     705309","         43.54"
"TCS","EQ","24-Jan-2018","       3102.00","       3090.00","       3259.05","       3082.65","       3174.95","       3174.60","       3189.59","    2810769","          8965187783.20","     111512","     862385","         30.68"
"TCS","EQ","25-Jan-2018","       3174.60","       3175.00","       3179.80","       3081.00","       3133.00","       3121.05","       3123.06","    1916922","          5986662027.05","      72537","     925615","         48.29"
"TCS","EQ","29-Jan-2018","       3121.05","       3131.40","       3225.00","       3122.00","       3199.25","       3198.85","       3196.14","    1570530","          5019638549.60","      94269","     832172","         52.99"
"TCS","EQ","30-Jan-2018","       3198.85","       3180.00","       3203.80","       3143.70","       3152.15","       3152.85","       3166.46","     787379","          2493202689.95","      45149","     384193","         48.79"
"TCS","EQ","31-Jan-2018","       3152.85","       3137.00","       3150.00","       3098.60","       3111.15","       3112.35","       3119.14","    1521607","          4746105492.10","      92438","     978756","         64.32"
